"Date","Price","Open","High","Low","Vol.","Change %"
"04/29/2020","7,196.8","7,228.7","7,260.5","7,133.1","1.51M","-0.88%"
"04/28/2020","7,260.5","7,260.5","7,292.3","7,165.0","780.56K","0.00%"
"04/27/2020","7,260.5","7,387.9","7,419.7","7,196.8","1.72M","-0.87%"
"04/24/2020","7,324.2","7,133.1","7,451.6","7,005.7","4.82M","2.68%"
"04/23/2020","7,133.1","7,324.2","7,324.2","7,133.1","867.93K","-1.75%"
"04/22/2020","7,260.5","7,005.7","7,260.5","6,942.1","1.78M","0.00%"
"04/21/2020","7,260.5","7,260.5","7,292.3","6,910.2","4.25M","-1.72%"
"04/20/2020","7,387.9","7,451.6","7,451.6","7,260.5","2.38M","0.43%"
"04/17/2020","7,356.0","7,451.6","7,483.4","7,324.2","2.93M","0.00%"
"04/16/2020","7,356.0","7,101.3","7,451.6","7,101.3","2.73M","1.76%"
"04/15/2020","7,228.7","7,196.8","7,292.3","7,101.3","2.61M","0.44%"
"04/14/2020","7,196.8","6,910.2","7,260.5","6,878.4","3.87M","3.20%"
"04/13/2020","6,973.9","7,037.6","7,133.1","6,942.1","2.08M","-2.23%"
"04/10/2020","7,133.1","7,069.4","7,228.7","6,878.4","2.40M","0.00%"
"04/09/2020","7,133.1","6,814.7","7,133.1","6,782.8","3.87M","6.67%"
"04/08/2020","6,687.3","6,910.2","6,910.2","6,687.3","2.94M","-3.67%"
"04/07/2020","6,942.1","7,037.6","7,037.6","6,814.7","2.30M","-1.36%"
"04/06/2020","7,037.6","6,910.2","7,101.3","6,878.4","3.21M","2.31%"
"04/03/2020","6,878.4","6,687.3","6,973.9","6,623.6","3.14M","0.93%"
"04/01/2020","6,814.7","6,591.8","6,814.7","6,343.4","3.30M","3.38%"
"03/31/2020","6,591.8","6,591.8","6,878.4","6,254.2","3.83M","-1.89%"
"03/30/2020","6,719.1","6,878.4","6,878.4","6,528.1","3.79M","-4.09%"
"03/27/2020","7,005.7","7,005.7","7,037.6","6,846.5","2.52M","0.00%"
"03/26/2020","7,005.7","7,133.1","7,133.1","6,814.7","2.03M","0.00%"
"03/25/2020","7,005.7","7,133.1","7,165.0","6,878.4","1.42M","2.33%"
"03/24/2020","6,846.5","6,751.0","6,846.5","6,400.7","2.43M","0.47%"
"03/23/2020","6,814.7","7,069.4","7,292.3","6,814.7","3.70M","-6.96%"
"03/20/2020","7,324.2","7,292.3","7,356.0","7,133.1","2.37M","-0.86%"
"03/19/2020","7,387.9","7,228.7","7,451.6","7,133.1","1.76M","-0.85%"
"03/18/2020","7,451.6","7,451.6","7,610.8","7,356.0","1.89M","1.74%"
"03/17/2020","7,324.2","7,005.7","7,324.2","6,910.2","3.73M","0.00%"
"03/16/2020","7,324.2","7,324.2","7,451.6","7,101.3","1.53M","-1.29%"
"03/13/2020","7,419.7","6,973.9","7,483.4","6,973.9","3.22M","-0.85%"
"03/12/2020","7,483.4","7,547.1","7,992.9","7,483.4","4.12M","-6.75%"
"03/11/2020","8,024.8","8,024.8","8,152.1","7,483.4","2.14M","0.00%"
"03/10/2020","8,024.8","7,961.1","8,152.1","7,738.2","2.19M","0.00%"
"03/09/2020","8,024.8","8,120.3","8,215.8","8,024.8","3.38M","-6.67%"
"03/06/2020","8,598.0","8,375.0","8,598.0","8,215.8","1.44M","1.89%"
"03/05/2020","8,438.7","8,661.6","8,789.0","8,343.2","1.80M","-2.57%"
"03/04/2020","8,661.6","8,343.2","8,661.6","8,311.4","3.47M","4.62%"
"03/03/2020","8,279.5","8,024.8","8,279.5","7,992.9","1.27M","4.84%"
"03/02/2020","7,897.4","7,992.9","8,120.3","7,897.4","770.15K","-1.19%"
"02/28/2020","7,992.9","8,024.8","8,088.5","7,865.5","1.72M","-1.18%"
"02/27/2020","8,088.5","8,152.1","8,152.1","8,056.6","1.04M","0.40%"
"02/26/2020","8,056.6","8,120.3","8,215.8","7,992.9","875.87K","-1.17%"
"02/25/2020","8,152.1","8,024.8","8,184.0","7,865.5","1.48M","1.59%"
"02/24/2020","8,024.8","7,992.9","8,152.1","7,865.5","2.76M","-4.55%"
"02/21/2020","8,406.9","8,406.9","8,598.0","8,375.0","1.43M","-2.22%"
"02/20/2020","8,598.0","8,757.2","8,789.0","8,598.0","1.45M","-0.37%"
"02/19/2020","8,629.8","8,598.0","8,852.7","8,598.0","2.28M","1.88%"
"02/18/2020","8,470.6","8,375.0","8,470.6","8,311.4","2.04M","1.53%"
"02/17/2020","8,343.2","8,215.8","8,534.3","8,215.8","2.19M","0.77%"
"02/14/2020","8,279.5","8,247.7","8,343.2","8,152.1","1.54M","0.39%"
"02/13/2020","8,247.7","8,056.6","8,247.7","8,056.6","3.00M","2.37%"
"02/12/2020","8,056.6","7,578.9","8,056.6","7,578.9","4.21M","6.75%"
"02/11/2020","7,547.1","7,419.7","7,610.8","7,419.7","2.26M","1.28%"
"02/10/2020","7,451.6","7,387.9","7,547.1","7,260.5","1.67M","0.86%"
"02/07/2020","7,387.9","7,387.9","7,610.8","7,356.0","2.08M","0.87%"
"02/06/2020","7,324.2","7,260.5","7,324.2","7,196.8","2.35M","0.88%"
"02/05/2020","7,260.5","7,228.7","7,292.3","7,196.8","1.71M","0.44%"
"02/04/2020","7,228.7","7,356.0","7,356.0","7,101.3","2.30M","0.44%"
"02/03/2020","7,196.8","7,324.2","7,547.1","7,196.8","3.71M","-6.61%"
"01/31/2020","7,706.3","7,929.2","8,024.8","7,706.3","3.22M","-3.59%"
"01/30/2020","7,992.9","8,279.5","8,279.5","7,865.5","1.64M","-3.46%"
"01/22/2020","8,279.5","8,343.2","8,438.7","8,279.5","1.38M","-0.76%"
"01/21/2020","8,343.2","8,088.5","8,343.2","8,088.5","781.29K","3.15%"
"01/20/2020","8,088.5","8,024.8","8,088.5","8,024.8","461.70K","0.79%"
"01/17/2020","8,024.8","8,279.5","8,279.5","8,024.8","1.81M","-2.70%"
"01/16/2020","8,247.7","8,279.5","8,311.4","8,215.8","868.92K","-0.38%"
"01/15/2020","8,279.5","8,279.5","8,311.4","8,215.8","424.77K","0.00%"
"01/14/2020","8,279.5","8,279.5","8,343.2","8,120.3","1.12M","0.39%"
"01/13/2020","8,247.7","8,375.0","8,470.6","8,247.7","1.49M","-1.52%"
"01/10/2020","8,375.0","8,406.9","8,502.4","8,343.2","868.76K","0.00%"
"01/09/2020","8,375.0","8,343.2","8,502.4","8,343.2","869.57K","1.54%"
"01/08/2020","8,247.7","8,629.8","8,629.8","8,247.7","3.58M","-5.13%"
"01/07/2020","8,693.5","8,661.6","8,852.7","8,661.6","665.91K","-0.36%"
"01/06/2020","8,725.3","8,884.6","8,884.6","8,693.5","739.25K","-1.44%"
"01/03/2020","8,852.7","8,789.0","9,011.9","8,789.0","3.52M","0.72%"
"01/02/2020","8,789.0","8,725.3","8,852.7","8,725.3","1.36M","0.00%"
"12/31/2019","8,789.0","8,629.8","8,789.0","8,598.0","1.45M","1.47%"
"12/30/2019","8,661.6","8,757.2","8,820.9","8,598.0","1.36M","-1.09%"
"12/27/2019","8,757.2","8,852.7","8,852.7","8,757.2","894.13K","-0.36%"
"12/26/2019","8,789.0","8,916.4","9,043.8","8,789.0","1.65M","-1.43%"
