Date,Price,Open,High,Low,Vol.,Change %
6/17/2020,"10,434.80","10,695.60","10,782.60","10,347.80",3.49M,-2.04%
6/16/2020,"10,652.20","10,391.30","10,695.60","10,347.80",6.07M,4.70%
6/15/2020,"10,173.90","10,869.60","10,869.60","10,043.50",6.38M,-2.50%
6/12/2020,"10,434.80","9,565.20","10,434.80","9,565.20",5.26M,3.90%
6/11/2020,"10,043.50","10,521.70","11,347.80","10,043.50",12.16M,-5.33%
6/10/2020,"10,608.70","10,608.70","10,739.10","10,173.90",5.46M,-0.41%
6/9/2020,"10,652.20","10,826.10","10,869.60","10,608.70",4.77M,-1.21%
6/8/2020,"10,782.60","10,695.60","10,869.60","10,608.70",5.86M,3.33%
6/5/2020,"10,434.80","10,347.80","10,434.80","10,173.90",3.40M,0.84%
6/4/2020,"10,347.80","10,173.90","10,565.20","10,173.90",6.86M,2.59%
6/3/2020,"10,087.00","9,956.50","10,130.40","9,869.60",3.44M,1.76%
6/2/2020,"9,913.00","9,956.50","10,217.40","9,869.60",5.64M,0.44%
6/1/2020,"9,869.60","9,956.50","10,043.50","9,826.10",4.61M,0.44%
5/29/2020,"9,826.10","9,782.60","9,826.10","9,695.60",3.10M,0.00%
5/28/2020,"9,826.10","9,739.10","10,043.50","9,608.70",5.37M,1.35%
5/27/2020,"9,695.60","10,130.40","10,130.40","9,695.60",5.42M,-3.46%
5/26/2020,"10,043.50","9,826.10","10,087.00","9,782.60",4.76M,2.21%
5/25/2020,"9,826.10","9,652.20","9,869.60","9,521.70",3.37M,1.80%
5/22/2020,"9,652.20","10,000.00","10,043.50","9,565.20",5.34M,-2.63%
5/21/2020,"9,913.00","9,478.30","10,087.00","9,478.30",6.76M,4.59%
5/20/2020,"9,478.30","9,478.30","9,652.20","9,347.80",3.25M,-0.91%
5/19/2020,"9,565.20","9,434.80","9,739.10","9,304.30",5.90M,3.77%
5/18/2020,"9,217.40","9,217.40","9,347.80","8,956.50",4.07M,0.00%
5/15/2020,"9,217.40","9,608.70","9,608.70","9,173.90",3.52M,-3.64%
5/14/2020,"9,565.20","9,434.80","9,782.60","9,260.90",3.82M,0.46%
5/13/2020,"9,521.70","8,956.50","9,652.20","8,826.10",6.94M,5.29%
5/12/2020,"9,043.50","8,869.60","9,173.90","8,678.30",4.78M,1.96%
